域,口径,净超额,IR,TE,胜率,盈亏比,盈利因子,换手,R2
csi1000,原始,4.933054938382742,2.9322831951216437,1.6829649519354142,0.6033057851239669,1.0958047687022072,1.6665364190679404,0.04293700759763234,
csi1000,S0 5风格(原口径),3.865105090244172,3.558048909563516,1.071545912392854,0.6107660455486542,1.1799150146887296,1.851462390070081,0.042565530093388704,0.2833741475645099
csi1000,BARRA+行业,3.287050939739464,3.8213877407523626,0.8448729750927056,0.6024844720496895,1.27179765417778,1.9275683196131979,0.045622956969904906,0.4460468736128622
csi1000,随机剔除零基准,-5.055301341212515,,,,,,,
csi1000,★超出零基准(R2列=分位),8.342352280951978,,,,,,,1.0
gz2000,原始,4.296342864053675,3.5631784198962815,1.1996353003418445,0.5888429752066116,1.2574103455338086,1.8008138114428913,0.07402782062396898,
gz2000,S0 5风格(原口径),3.2332259947330204,3.888121456401003,0.8170162245976288,0.6024844720496895,1.2738500048607355,1.9306789136170526,0.07755613828657573,0.35911222732391673
gz2000,BARRA+行业,3.309713754211778,4.799540882901462,0.6704731386634628,0.6314699792960663,1.3155556323605415,2.254182403763849,0.08258705133738867,0.5143125395293824
gz2000,随机剔除零基准,-6.8508083860629005,,,,,,,
gz2000,★超出零基准(R2列=分位),10.16052214027468,,,,,,,1.0
