seed,口径,毛,净20,IR,TE,换手
0,风格中性,0.058104327039028604,0.037159666150794135,3.439842508581549,0.010691084404230802,0.0432740927442861
0,原始,0.06918968695390504,0.04817536719799955,2.89041491685106,0.0166731324791021,0.04341801602459812
1,风格中性,0.05955216354788349,0.03833761754958221,3.4862537335227746,0.010846711331485015,0.04383170660806049
1,原始,0.06588358906446956,0.044705656234545345,2.6342417316555884,0.016977020641522067,0.04375605956595913
10,风格中性,0.05712254122661246,0.036402474534466205,3.3432642472389564,0.010777693863736082,0.04281005514906249
10,原始,0.06798743744730018,0.046870396796143306,2.803445878524887,0.01675294405728005,0.04363024927924974
11,风格中性,0.05656380822877718,0.03525905836816533,3.191888764231501,0.010945078217982709,0.04401807822440465
11,原始,0.0721268185734516,0.05045889881397249,3.0387898052549565,0.016603690373354782,0.04476842925512214
12,风格中性,0.05919497842857312,0.03804416658387339,3.460715366257452,0.010895144222841912,0.04370002447252009
12,原始,0.0706456983461976,0.04935503928244125,2.874213653901158,0.017159205975480575,0.04398896500776107
13,风格中性,0.058219892015200066,0.03728597836468983,3.3625040968043525,0.010919364598903024,0.04325188770766577
13,原始,0.07235838790074922,0.05103057323278433,3.0447487121821277,0.01676294379462393,0.04406573278505144
14,风格中性,0.05834374347085607,0.03737766631762965,3.441414764096942,0.01070217684633829,0.04331834122567443
14,原始,0.07207933113386389,0.05079078964056104,3.0366578253863037,0.016731497805829897,0.043984589862195965
15,风格中性,0.05666523838551198,0.035367261824716646,3.242431496245475,0.010742696727999518,0.04400408380329615
15,原始,0.07216326825437136,0.050633068343635124,2.99317371762929,0.016907637466863388,0.044483884113091406
16,风格中性,0.06062737779569374,0.03994706391505257,3.7038002289713132,0.010675472911986238,0.042727921240994164
16,原始,0.06986030954431044,0.0487218056036782,2.8631918644966774,0.01701645622964243,0.04367459491866165
17,风格中性,0.05776664231139559,0.03672800361989292,3.4333625242965975,0.01056071929894885,0.04346826175930306
17,原始,0.07293732366815675,0.05172100788848337,3.1123608599651726,0.016621898846519864,0.043835363181143346
18,风格中性,0.060025090333985405,0.0386977178106061,3.5089802226196753,0.010910591705873314,0.044064819263180385
18,原始,0.06993987708119676,0.048315374676342844,2.830306852375416,0.01704509269270772,0.0446787239769709
19,风格中性,0.057507314172192084,0.03650439867335228,3.4175123787355415,0.010567880580947068,0.04339445350999959
19,原始,0.070055153555586,0.04881007232602321,2.936988209399387,0.016598983586516618,0.04389479592884875
2,风格中性,0.059805942300897995,0.03870697644405226,3.5563541098998863,0.010732338064432984,0.0435929046629044
2,原始,0.07254225782526191,0.051508619195398765,3.120978844151703,0.016513727316890443,0.043457931053436254
3,风格中性,0.05981878314625692,0.038845987518729114,3.6454881810171655,0.010538105316624281,0.0433322223709252
3,原始,0.07042411973816343,0.049036914219979126,2.8798472617778117,0.01700935411984347,0.044188441153273354
4,风格中性,0.05905188906531227,0.03788289940066361,3.5751882265219863,0.010530888363435601,0.04373758195175343
4,原始,0.07304955183644779,0.05171589303322491,3.094738324233198,0.0167177982492021,0.04407780744467539
5,风格中性,0.059128209796332126,0.038081448365786,3.5624603308492118,0.01056735800852678,0.043485044277987855
5,原始,0.07140624297608156,0.05036407070432937,3.0106930992385914,0.016736349291458653,0.043475562544942545
6,风格中性,0.06068109235664595,0.0397582989627633,3.7391114793911355,0.010524185453939962,0.04322891197083191
6,原始,0.07078196266957093,0.049781594219582205,2.9490923563827507,0.016866571420468185,0.0433891910123734
7,风格中性,0.05687470437923165,0.03610315239745184,3.289005679170584,0.010839261546503857,0.04291642971442109
7,原始,0.07006970685324632,0.04918469003463104,2.9351119848298417,0.01673725191173692,0.04315086119548611
8,风格中性,0.0544498683366535,0.033773270539637384,3.1561765725494157,0.010577473939704464,0.042720243382264704
8,原始,0.07231283425062429,0.05135433726284018,3.0764129051373006,0.01670616183777816,0.04330267972682667
9,风格中性,0.05868632594961288,0.037547655102505816,3.54428398064701,0.01049950352982903,0.04367493976675011
9,原始,0.07185585660045035,0.05051317100585075,3.0187611119350026,0.016732795625038325,0.04409645784008182
