模型,剔除比例,超额毛,净20bp,IR,TE,换手,胜率,盈利因子,下尾捕获率,底部组实际年化,交易日
对称回归(项目1主模型),10%,0.07011206106108148,0.049330549383827416,2.9322831951216437,0.01682964951935414,0.04293700759763234,0.6033057851239669,1.6665364190679404,0.30463563134521626,-0.38139044094805286,484
对称回归(项目1主模型),30%,0.11758696910692379,0.06593278705523668,1.9567753639609506,0.03369648886504184,0.10672351663571715,0.5454545454545454,1.4044830647448339,0.30463563134521626,-0.38139044094805286,484
下尾二分类,10%,0.07312050426844507,0.0501280661814556,2.0796277279848687,0.024059905636555863,0.047505037369812986,0.5495867768595041,1.436992343629679,0.34164208549511715,-0.3451519483087395,484
下尾二分类,30%,0.1229215207276866,0.07850219251783383,1.655129213888226,0.04737473642068728,0.09177547150796023,0.5537190082644629,1.318472763852413,0.34164208549511715,-0.3451519483087395,484
下尾二分类+深跌加权,10%,0.06941866269335151,0.04654955626479668,1.8913877332551727,0.024586088572414257,0.04725021989370831,0.5330578512396694,1.3853066276882084,0.3436059388972663,-0.330863351611697,484
下尾二分类+深跌加权,30%,0.12410675646970049,0.08011617255847304,1.6922476588551583,0.04728100260288683,0.09088963618022199,0.5516528925619835,1.3243054059803379,0.3436059388972663,-0.330863351611697,484
分位数回归(q=0.10),10%,0.0661263248330215,0.044021769543585956,1.6347491515224437,0.026909327482360863,0.045670568779825504,0.5413223140495868,1.3243948315702092,0.34397851722343725,-0.30609952664461204,484
分位数回归(q=0.10),30%,0.11561198967683595,0.0728934739474178,1.502508556153049,0.048448651169115106,0.08826139613516149,0.5557851239669421,1.2843149263984392,0.34397851722343725,-0.30609952664461204,484
