date,ex_gross,turnover,port,bench,ex_net10,ex_net20,ex_net30
2022-07-01,-0.0052834918380391845,0.9999999999999999,0.008023923110901093,0.013307414948940277,-0.0062834918380391845,-0.0072834918380391845,-0.008283491838039184
2022-07-04,0.005218340068989035,0.4177815645410464,0.0036982042798107237,-0.0015201357891783118,0.0048005585044479885,0.004382776939906942,0.003964995375365896
2022-07-05,0.003658859015948217,0.27028742564647457,-0.010099116756074984,-0.013757975772023201,0.0033885715903017423,0.003118284164655268,0.0028479967390087936
2022-07-06,-0.0037577381619204623,0.27069382637878414,0.0023289587087045567,0.006086696870625019,-0.004028431988299246,-0.004299125814678031,-0.0045698196410568145
2022-07-07,0.0070879353827482585,0.1613221953861595,0.0002045078820234658,-0.0068834275007247925,0.006926613187362099,0.006765290991975939,0.00660396879658978
2022-07-08,0.007418721419049184,0.16219653195951392,-0.0055996985470524625,-0.013018419966101646,0.00725652488708967,0.007094328355130156,0.006932131823170642
2022-07-11,0.010397295868547585,0.1927751395321625,-0.0016684183566254116,-0.012065714225172997,0.010204520729015423,0.01001174558948326,0.009818970449951097
2022-07-12,-0.0007295404399921684,0.2312850450858308,0.0044155930329869,0.005145133472979069,-0.0009608254850779993,-0.00119211053016383,-0.0014233955752496609
2022-07-13,-0.005935198391716079,0.21919131075612974,-0.00029408721898038814,0.005641111172735691,-0.006154389702472209,-0.006373581013228338,-0.006592772323984468
2022-07-14,-0.004378867438956335,0.16921192045515537,-0.020397610134407117,-0.016018742695450783,-0.00454807935941149,-0.004717291279866646,-0.004886503200321801
2022-07-15,-0.0017191134306545168,0.1579414736396573,0.017145376661146173,0.01886449009180069,-0.001877054904294174,-0.0020349963779338312,-0.0021929378515734886
2022-07-18,0.0017255908288568468,0.18932365173099847,0.005765684921345136,0.004040094092488289,0.0015362671771258483,0.0013469435253948498,0.0011576198736638513
2022-07-19,-0.0024089889445890033,0.20496501726484234,0.009690816343427793,0.012099805288016796,-0.0026139539618538457,-0.002818918979118688,-0.00302388399638353
2022-07-20,0.002263289091791538,0.16959657344724402,-0.007078708933983418,-0.009341998025774956,0.002093692518344294,0.0019240959448970497,0.0017544993714498059
2022-07-21,0.003762681430263204,0.13728644563828907,-0.005094040723460036,-0.00885672215372324,0.0036253949846249147,0.003488108538986626,0.0033508220933483367
2022-07-22,0.006528784525433177,0.2190133079413975,-0.0025061974256843384,-0.009034981951117516,0.006309771217491779,0.006090757909550382,0.005871744601608985
2022-07-25,1.1250152632423169e-05,0.2040224913308993,0.012484713233455845,0.012473463080823421,-0.00019277233869847616,-0.0003967948300293755,-0.0006008173213602748
2022-07-26,-0.004193442342869612,0.17638343163349812,-8.219846530971184e-05,0.0041112438775599,-0.004369825774503111,-0.0045462092061366085,-0.004722592637770107
2022-07-27,-0.0009024252172134296,0.17562814060534565,0.0023349631123669966,0.003237388329580426,-0.0010780533578187753,-0.001253681498424121,-0.0014293096390294666
2022-07-28,0.0016358825573579584,0.11944141562139128,-0.006680310218606779,-0.008316192775964737,0.001516441141736567,0.0013969997261151757,0.0012775583104937846
2022-07-29,-0.005773513708511875,0.1739206609076236,0.002991368863483383,0.008764882571995258,-0.005947434369419499,-0.006121355030327122,-0.006295275691234746
2022-08-01,0.0032641856368859426,0.16820737347821801,-0.024505659342161833,-0.027769844979047775,0.0030959782634077245,0.0029277708899295065,0.0027595635164512885
2022-08-02,-0.004638523312293901,0.18393007155702162,-0.011692085752272024,-0.007053562439978123,-0.004822453383850922,-0.0050063834554079445,-0.005190313526964966
2022-08-03,-0.0011388710320980513,0.20161090507474502,0.0048720762512593305,0.006010947283357382,-0.0013404819371727963,-0.0015420928422475414,-0.0017437037473222864
2022-08-04,-0.003860327281462024,0.13111255984176207,0.014420778624309231,0.018281105905771255,-0.0039914398413037865,-0.004122552401145548,-0.0042536649609873104
2022-08-05,-0.005878695350676881,0.18185492027391215,0.0028537678824960117,0.008732463233172894,-0.0060605502709507935,-0.006242405191224706,-0.006424260111498618
2022-08-08,-0.006008622089761221,0.17509812245405598,-0.0028944356296089525,0.0031141864601522684,-0.006183720212215277,-0.006358818334669333,-0.0065339164571233885
2022-08-09,-0.0021779809553096174,0.15879576625527797,-0.004978219506881583,-0.0028002385515719652,-0.002336776721564895,-0.0024955724878201733,-0.0026543682540754515
2022-08-10,0.00010166030142457969,0.16873508718192326,0.018691592772938328,0.018589932471513748,-6.707478575734358e-05,-0.00023580987293926684,-0.0004045449601211901
2022-08-11,0.008939901804439179,0.1569363977354467,0.006261177332959524,-0.0026787244714796543,0.008782965406703732,0.008626029008968285,0.008469092611232838
2022-08-12,-0.0021497829670814135,0.16531199612442218,0.0014663777460547825,0.003616160713136196,-0.0023150949632058356,-0.0024804069593302577,-0.00264571895545468
2022-08-15,-0.002023284057390374,0.170133013786372,0.001680078251052219,0.0037033623084425926,-0.002193417071176746,-0.002363550084963118,-0.00253368309874949
2022-08-16,-0.00028731236923745795,0.15488432985056572,0.004286669374068464,0.0045739817433059216,-0.00044219669908802364,-0.0005970810289385893,-0.0007519653587891551
2022-08-17,-0.007844103261103946,0.14110180033557404,-0.011346111766269523,-0.003502008505165577,-0.007985205061439519,-0.008126306861775094,-0.008267408662110667
2022-08-18,0.012086118126349424,0.16498389018374537,0.00020846773131367958,-0.011877650395035744,0.011921134236165679,0.011756150345981932,0.011591166455798187
2022-08-19,-0.004824302961535652,0.1738543252892065,0.007977130020551483,0.012801432982087135,-0.004998157286824859,-0.005172011612114065,-0.005345865937403271
2022-08-22,0.0020962338328826434,0.1510060126577535,0.00131553429109037,-0.0007806995417922735,0.0019452278202248899,0.0017942218075671364,0.0016432157949093828
2022-08-23,0.010179075737267555,0.12492255204841153,-0.018110786239832817,-0.028289861977100372,0.010054153185219144,0.009929230633170732,0.00980430808112232
