配置,点估计,均值,标准差,p5,p95,为正概率,IR点估计,IR_p5
中证1000 对称/剔除5%,0.030478516669848597,0.031809474308658416,0.0055994955684118995,0.022355770896085935,0.041044275671126486,1.0,3.9694603841362377,2.8660974002411166
中证1000 对称/剔除30%,0.0362929423537412,0.036650392768172085,0.017347567482765388,0.008280140235581546,0.06555546739587798,0.9795,1.7863917846065522,0.4022586529520383
国证2000代理 对称/剔除5%,0.015049248047531032,0.016274278654849973,0.004507330569306965,0.00901476908201271,0.02391341444158763,1.0,2.829701104961068,1.6898752206768877
国证2000代理 对称/剔除30%,0.0337806686637204,0.0352378176957697,0.014035241990635557,0.012456923093684522,0.058468189587460716,0.9905,2.1155709612340843,0.7511788558388514
