date,ex_gross,turnover,ex_net10,ex_net20,ex_net30
2022-07-01,0.0006303936243057251,0.9999999520659912,-0.00036960632776026616,-0.0013696062798262574,-0.0023696062318922487
2022-07-04,-0.00020319363102316856,0.0969918013014496,-0.0003001854323246182,-0.0003971772336260678,-0.0004941690349275173
2022-07-05,0.000837487168610096,0.09173753921569322,0.0007457496293944028,0.0006540120901787096,0.0005622745509630163
2022-07-06,0.000816727988421917,0.07233301554492884,0.0007443949728769882,0.0006720619573320593,0.0005997289417871305
2022-07-07,0.0004520743968896568,0.06622484150873616,0.0003858495553809206,0.00031962471387218447,0.0002533998723634483
2022-07-08,-0.00021265866234898567,0.08471540178687603,-0.0002973740641358617,-0.00038208946592273774,-0.00046680486770961377
2022-07-11,-0.0001315055415034294,0.07654065037613941,-0.00020804619187956883,-0.00028458684225570824,-0.0003611274926318477
2022-07-12,0.0009856075048446655,0.09121971743129631,0.0008943877874133693,0.0008031680699820729,0.0007119483525507766
2022-07-13,0.0005858344957232475,0.07896515542639307,0.0005068693402968545,0.0004279041848704614,0.0003489390294440683
2022-07-14,0.0005285888910293579,0.07463768194550816,0.00045395120908384975,0.0003793135271383416,0.00030467584519283344
2022-07-15,-0.00029775872826576233,0.08805103390294514,-0.00038580976216870747,-0.0004738607960716526,-0.0005619118299745977
2022-07-18,0.00042808055877685547,0.09658741529165832,0.0003314931434851971,0.00023490572819353882,0.00013831831290188053
2022-07-19,0.0008904356509447098,0.09005103457976138,0.0008003846163649484,0.000710333581785187,0.0006202825472054257
2022-07-20,0.00023624766618013382,0.07134103997933272,0.0001649066262008011,9.356558622146838e-05,2.222454624213564e-05
2022-07-21,0.00012503191828727722,0.07671690005917643,4.831501822810079e-05,-2.8401881831075637e-05,-0.00010511878189025205
2022-07-22,0.001552138477563858,0.07029752271963234,0.0014818409548442257,0.0014115434321245934,0.001341245909404961
2022-07-25,0.00012555811554193497,0.074373111501359,5.118500404057597e-05,-2.3188107460783025e-05,-9.756121896214203e-05
2022-07-26,-8.074566721916199e-07,0.08680049252350056,-8.760794919569217e-05,-0.00017440844171919272,-0.00026120893424269327
2022-07-27,5.785282701253891e-05,0.07039659474327564,-1.2543767730736736e-05,-8.294036247401238e-05,-0.00015333695721728803
2022-07-28,0.0002016187645494938,0.07769537581512183,0.00012392338873437196,4.6228012919250134e-05,-3.146736289587172e-05
2022-07-29,-3.417627885937691e-05,0.07037926640305994,-0.00010455554526243685,-0.0001749348116654968,-0.0002453140780685567
2022-08-01,0.0009752921760082245,0.08276482910828441,0.00089252734689994,0.0008097625177916557,0.0007269976886833712
2022-08-02,0.0007618162781000137,0.09099832349949914,0.0006708179546005146,0.0005798196311010155,0.0004888213076015163
2022-08-03,0.000770307146012783,0.09698350970598099,0.000673323636306802,0.000576340126600821,0.00047935661689484007
2022-08-04,0.0017554042860865593,0.07498683589373985,0.0016804174501928195,0.0016054306142990796,0.0015304437784053398
2022-08-05,-0.0001503974199295044,0.07689434110653313,-0.00022729176103603754,-0.0003041861021425707,-0.0003810804432491038
2022-08-08,4.167330916970968e-05,0.07774712391419569,-3.607381474448601e-05,-0.0001138209386586817,-0.00019156806257287736
2022-08-09,-0.00037382403388619423,0.06850205621724384,-0.00044232609010343805,-0.0005108281463206819,-0.0005793302025379257
2022-08-10,0.0010536201298236847,0.06061823114870568,0.000993001898674979,0.0009323836675262734,0.0008717654363775676
2022-08-11,0.00023121130652725697,0.07436389730146406,0.0001568474092257929,8.248351192432883e-05,8.119614622864764e-06
2022-08-12,-0.0005591288208961487,0.07368872442913488,-0.0006328175453252836,-0.0007065062697544184,-0.0007801949941835533
2022-08-15,0.00014220550656318665,0.06770046735969101,7.450503920349563e-05,6.804571843804606e-06,-6.08958955158864e-05
2022-08-16,0.0002545849420130253,0.06660086337899168,0.00018798407863403362,0.00012138321525504193,5.4782351876050234e-05
2022-08-17,-0.0004025590023957193,0.07521526349268559,-0.00047777426588840486,-0.0005529895293810904,-0.0006282047928737761
2022-08-18,0.0009861765429377556,0.05711244574003005,0.0009290640971977255,0.0008719516514576954,0.0008148392057176655
2022-08-19,0.0011506294831633568,0.08983116793660961,0.0010607983152267472,0.0009709671472901375,0.000881135979353528
2022-08-22,-6.50365836918354e-05,0.09320111078627547,-0.00015823769447811085,-0.0002514388052643863,-0.0003446399160506618
2022-08-23,0.0009082481265068054,0.08164971924558706,0.0008265984072612184,0.0007449486880156313,0.0006632989687700443
2022-08-24,0.0018592695705592632,0.07271669561702203,0.0017865528749422411,0.0017138361793252192,0.001641119483708197
2022-08-25,0.0012667132541537285,0.07023425401164418,0.0011964790001420843,0.0011262447461304402,0.001056010492118796
2022-08-26,-3.930181264877319e-05,0.08258305254405945,-0.00012188486519283265,-0.0002044679177368921,-0.00028705097028095157
2022-08-29,0.0012548197992146015,0.07991661420951432,0.0011749031850050871,0.0010949865707955727,0.0010150699565860586
2022-08-30,0.0013052988797426224,0.08222812319757529,0.001223070756545047,0.001140842633347472,0.0010586145101498965
2022-08-31,0.0003474997356534004,0.09031379110235918,0.0002571859445510413,0.00016687215344868208,7.655836234632288e-05
2022-09-01,0.0006518177688121796,0.08963591468812065,0.0005621818541240589,0.0004725459394359382,0.0003829100247478176
2022-09-02,-6.516603752970695e-05,0.08176171919972791,-0.00014692775672943485,-0.00022868947592916277,-0.0003104511951288907
2022-09-05,-0.0001759268343448639,0.08685511905678832,-0.00026278195340165224,-0.00034963707245844053,-0.00043649219151522883
2022-09-06,5.624024197459221e-05,0.07420067577811043,-1.796043380351821e-05,-9.216110958162863e-05,-0.0001663617853597391
2022-09-07,0.00040712766349315643,0.0741635493255354,0.00033296411416762104,0.00025880056484208565,0.00018463701551655026
2022-09-08,-8.373812306672335e-06,0.07877093472215067,-8.714474702882301e-05,-0.0001659156817509737,-0.0002446866164731244
2022-09-09,0.0004093963070772588,0.06264587059262877,0.00034675043648463007,0.0002841045658920013,0.0002214586952993725
2022-09-13,0.000285932794213295,0.05997094380578548,0.0002259618504075095,0.000165990906601724,0.00010601996279593855
2022-09-14,-0.0003362409770488739,0.06289231881765894,-0.00039913329586653285,-0.0004620256146841918,-0.0005249179335018508
2022-09-15,0.000134933739900589,0.06505618072433439,6.98775591762546e-05,4.821378451920206e-06,-6.0234802272414185e-05
2022-09-16,0.0003120154142379761,0.08759168266923709,0.00022442373156873898,0.0001368320488995019,4.924036623026485e-05
2022-09-19,-5.526188760995865e-05,0.08428936381568589,-0.00013955125142564454,-0.0002238406152413304,-0.0003081299790570163
2022-09-20,0.0006728093139827251,0.07418065109542243,0.0005986286628873027,0.0005244480117918802,0.0004502673606964578
2022-09-21,-0.0002196882851421833,0.0675983211086861,-0.0002872866062508694,-0.00035488492735955555,-0.0004224832484682416
2022-09-22,0.0009570606052875519,0.06500123457348622,0.0008920593707140656,0.0008270581361405794,0.0007620569015670932
2022-09-23,-0.0005170665681362152,0.06893996055880816,-0.0005860065286950233,-0.0006549464892538315,-0.0007238864498126397
2022-09-26,0.0003476720303297043,0.07015463924247378,0.0002775173910872305,0.00020736275184475672,0.0001372081126022829
2022-09-27,0.0015877615660429,0.08306477926761392,0.0015046967867752862,0.0014216320075076724,0.0013385672282400583
2022-09-28,0.00077056884765625,0.07870565026350525,0.0006918631973927448,0.0006131575471292395,0.0005344518968657343
2022-09-29,0.0014299415051937103,0.09713771610430173,0.0013328037890894086,0.001235666072985107,0.001138528356880805
2022-09-30,0.0003708312287926674,0.09895381603671105,0.0002718774127559563,0.0001729235967192453,7.39697806825342e-05
2022-10-10,-0.0003180168569087982,0.0755096992064597,-0.0003935265561152579,-0.0004690362553217176,-0.0005445459545281773
2022-10-11,0.00046471692621707916,0.08169802124827158,0.00038301890496880757,0.000301320883720536,0.00021962286247226444
2022-10-12,0.0005845874547958374,0.08630887267125895,0.0004982785821245785,0.00041196970945331954,0.00032566083678206055
