模型,剔除比例,超额毛,净20bp,IR,TE,换手,胜率,盈利因子,下尾捕获率,底部组实际年化,交易日
对称回归(项目1主模型),10%,0.07879289382253774,0.042963428640536754,3.5631784198962815,0.011996353003418446,0.07402782062396898,0.5888429752066116,1.8008138114428913,0.33827958897153393,-0.45416814612394774,484
对称回归(项目1主模型),30%,0.12057729895605006,0.058743197079394585,2.1996352420003253,0.02662104177814006,0.12775640883606504,0.5454545454545454,1.435651398316487,0.33827958897153393,-0.45416814612394774,484
下尾二分类,10%,0.07089845275913831,0.03509146506202117,2.3324492556179073,0.014973924011475829,0.07398137953949824,0.5847107438016529,1.4678593777259414,0.36256572018222616,-0.35690091197557194,484
下尾二分类,30%,0.1181783117353916,0.06373210454027768,1.8943886378040047,0.033538559178102396,0.11249216362626847,0.5516528925619835,1.363249563115861,0.36256572018222616,-0.35690091197557194,484
下尾二分类+深跌加权,10%,0.06861489312723279,0.03269500782608416,2.1291340756443415,0.015282661032592628,0.07421463905195998,0.5640495867768595,1.4175220259994408,0.36398582397842566,-0.35515435135312146,484
下尾二分类+深跌加权,30%,0.11521633245138219,0.06113966479567287,1.8281055457379822,0.033340863992420894,0.11172865218121761,0.5537190082644629,1.3473905975331484,0.36398582397842566,-0.35515435135312146,484
分位数回归(q=0.10),10%,0.06457062441768358,0.028506212067001466,1.780847705472469,0.015921399538774975,0.0745132486584341,0.5578512396694215,1.3362507025344652,0.3641056682298552,-0.32978219201049797,484
分位数回归(q=0.10),30%,0.11373066097439732,0.06062482504830124,1.790842527563508,0.03374893728510969,0.10972280150019853,0.5557851239669421,1.3397590336127916,0.3641056682298552,-0.32978219201049797,484
