seed,口径,毛,净20,IR,TE,换手
0,风格中性,0.06840674734815876,0.030584429951631003,3.6574460137398135,0.008220813938272727,0.07814528387712348
0,原始,0.07758960086357547,0.04161629357871453,3.4634395517191807,0.01194562121980869,0.0743250150513656
1,风格中性,0.06792711465213135,0.030156041769807896,3.649877945299431,0.008110663912504389,0.07803940678166003
1,原始,0.07770552528381813,0.04181297210158362,3.525926756413374,0.011813395136076982,0.07415816773188948
10,风格中性,0.06858170382789622,0.030718698240087584,3.7188113100993605,0.008098966337721726,0.07822935038803436
10,原始,0.07968531960796099,0.0437908245090706,3.671035256754245,0.011870284355547817,0.07416217995638512
11,风格中性,0.06756672337164381,0.029643656523718455,3.5832218274071232,0.008125565071997977,0.07835344390067224
11,原始,0.07834240829834016,0.04229901441326206,3.5354429284485467,0.011890554989092713,0.07446982207660766
12,风格中性,0.06905618315686976,0.03130995065707132,3.706853862387453,0.008295210030659193,0.07798808367726949
12,原始,0.07737723503669258,0.041568134295270405,3.472509649482494,0.011912974582755314,0.0739857453335169
13,风格中性,0.06983969695410569,0.03216472271839463,3.914659383541497,0.008068546059735915,0.07784085585890717
13,原始,0.07855217298492789,0.0426354836230254,3.587112922627416,0.01181721483310098,0.07420803587169936
14,风格中性,0.06909632874728908,0.03132281419196684,3.7611157715251986,0.008172104969811663,0.07804445156058312
14,原始,0.07804471741837915,0.042147021660683515,3.499646876630571,0.011974761157025393,0.07416879288780091
15,风格中性,0.06976085094126197,0.03196659978657859,3.882240277780858,0.008073129575159398,0.07808729577413918
15,原始,0.07767357538978104,0.0417939682863532,3.462927693970701,0.012001622172354995,0.07413141963518147
16,风格中性,0.0697402647560497,0.03211733105871106,3.9090744063869103,0.008051924995620047,0.07773333408541043
16,原始,0.07845078047830611,0.04256082737094494,3.5851881371472634,0.011805033425602494,0.07415279567636608
17,风格中性,0.07032219537892465,0.03249281256306547,3.8985306700556515,0.008194827525271791,0.0781598818509487
17,原始,0.07934553645463893,0.04334557002252852,3.598828478732428,0.011982458605247751,0.07438009593411242
18,风格中性,0.06953050968790134,0.03184801245568284,3.822106168197655,0.008201409021367257,0.07785639924012087
18,原始,0.07796911306650145,0.0420800111781196,3.5142246157080748,0.011912613759958276,0.07415103695946662
19,风格中性,0.0670420406554974,0.029064591544196997,3.455224955626231,0.00825055401849473,0.0784658039489678
19,原始,0.0778994754946325,0.04190270226622955,3.5115657595139065,0.011859212438010754,0.0743734984057912
2,风格中性,0.06979789162821359,0.03212589871967101,3.854811513019862,0.008182141460650034,0.07783469609203016
2,原始,0.07772959789872402,0.042001256686868375,3.5197569978271,0.011874813436046749,0.07381888680135465
3,风格中性,0.0686083395050585,0.03082863355250878,3.78404158681791,0.008004743862437455,0.07805724370361512
3,原始,0.07962784671690315,0.04368171204858158,3.686208192133145,0.011797434301813957,0.07426887328165614
4,风格中性,0.06994441329098092,0.03204645195307642,3.836799083042013,0.008203667310004032,0.07830157301219938
4,原始,0.07771660261641955,0.04171212897787778,3.4977551606111157,0.01187666779371472,0.07438940834409458
5,风格中性,0.06960057815636642,0.0319975149295538,3.8228483448491186,0.00821202958800596,0.07769227939424093
5,原始,0.07804294003290124,0.0422427194042701,3.495450036628978,0.012016550253539074,0.07396739799303957
6,风格中性,0.06939626959809074,0.03160294394288439,3.794949631244673,0.008177158686786597,0.07808538358513709
6,原始,0.07900074267672608,0.04321127930361507,3.6144749559297042,0.011904480741030636,0.07394517225849381
7,风格中性,0.06836304737736545,0.030794334697287377,3.740688267689154,0.008074945840414592,0.07762130719024397
7,原始,0.07807892680284567,0.04221422879532778,3.576608146997289,0.011753428711662028,0.07410061571801216
8,风格中性,0.06918715195480626,0.0315055756734453,3.7611171480154524,0.00822793901737887,0.07785449644909288
8,原始,0.07823725407070015,0.04249292970220295,3.5272180233768244,0.011990355887390362,0.07385190985226694
9,风格中性,0.06868026732987971,0.031095570672429018,3.7410093092476626,0.008172993149548878,0.07765433193688162
9,原始,0.07723683899530442,0.04143275017086612,3.4780797488118353,0.01183048390783115,0.07397539013313699
