date,ex_gross,turnover,port,bench,ex_net10,ex_net20,ex_net30
2022-07-04,-0.004879635587955514,0.9999999999999998,-0.0060839988912145294,-0.001204363303259015,-0.005879635587955514,-0.006879635587955514,-0.007879635587955514
2022-07-05,0.0035209051178147367,0.803816899117475,-0.010807893161351485,-0.014328798279166222,0.0027170882186972616,0.0019132713195797867,0.0011094544204623118
2022-07-06,0.006793615892012087,0.4464090571452947,0.01152469964646217,0.004731083754450083,0.006347206834866792,0.005900797777721498,0.005454388720576203
2022-07-07,-0.003126161694847818,0.33187390877090367,-0.005584638621979232,-0.0024584769271314144,-0.0034580356036187218,-0.0037899095123896252,-0.004121783421160529
2022-07-08,0.004949045217242733,0.28895499282995263,-0.011198389494213565,-0.0161474347114563,0.0046600902244127804,0.004371135231582828,0.0040821802387528755
2022-07-11,-0.0012624201329756828,0.26707169922523805,-0.009355052650194273,-0.00809263251721859,-0.0015294918322009208,-0.0017965635314261589,-0.0020636352306513967
2022-07-12,0.0017466046000381222,0.32592927740208844,0.003831560405950736,0.002084955805912614,0.0014206753226360337,0.0010947460452339452,0.0007688167678318568
2022-07-13,0.01178594281136904,0.25259317813729054,0.012137810682728031,0.00035186787135899067,0.01153334963323175,0.01128075645509446,0.01102816327695717
2022-07-14,0.0018882738890918516,0.3139961249582628,-0.012675513839456198,-0.01456378772854805,0.0015742777641335887,0.001260281639175326,0.0009462855142170632
2022-07-15,-0.003014087495808865,0.31376919137854475,0.0075171163254925955,0.01053120382130146,-0.0033278566871874095,-0.0036416258785659543,-0.003955395069944499
2022-07-18,0.000704563409625286,0.2912935199125736,-0.004548509884090429,-0.005253073293715715,0.0004132698897127125,0.00012197636980013896,-0.00016931715011243463
2022-07-19,0.0006835775151808644,0.30675801113461787,0.0042337731160183335,0.003550195600837469,0.00037681950404624655,7.006149291162867e-05,-0.00023669651822298915
2022-07-20,0.004040856357736126,0.23825355321471972,-0.00634326741464661,-0.010384123772382736,0.0038026028045214065,0.0035643492513066865,0.003326095698091967
2022-07-21,-0.001687344544588577,0.2987191447436728,-0.0008757244530347996,0.0008116200915537775,-0.00198606368933225,-0.002284782834075923,-0.0025835019788195955
2022-07-22,0.0005828976807326367,0.24808664456304458,-0.005251637083557219,-0.005834534764289856,0.00033481103616959213,8.672439160654758e-05,-0.00016136225295649708
2022-07-25,0.0004586657463578267,0.2873730338496555,0.00858534555425921,0.008126679807901382,0.00017129271250817114,-0.00011608032134148441,-0.00040345335519113986
2022-07-26,0.008452984575709414,0.19575285098662637,0.0035857475144472828,-0.004867237061262131,0.008257231724722787,0.008061478873736162,0.007865726022749535
2022-07-27,-0.0036260850750841197,0.2661776767746726,-0.0031817440898157653,0.0004443409852683544,-0.0038922627518587923,-0.004158440428633465,-0.004424618105408137
2022-07-28,-0.0009722991114824858,0.28776067653709203,-0.013791747597452983,-0.012819448485970497,-0.001260059788019578,-0.00154782046455667,-0.0018355811410937619
